Highwayman	PROPN	Highwayman
Of	ADP	of
The	DET	the
Void	PROPN	Void
By	ADP	by
DIRK	PROPN	DIRK
WYLIE	PROPN	WYLIE
Ironic	ADJ	ironic
destiny	NOUN	destiny
had	AUX	have
brought	VERB	bring
outlaw	NOUN	outlaw
Steve	PROPN	Steve
Nolan	PROPN	Nolan
across	ADP	across
the	DET	the
star	NOUN	star
lanes	NOUN	lane
to	ADP	to
icy	ADJ	icy
Pinto	PROPN	Pinto
and	CCONJ	and
tangled	VERB	tangle
his	PRON	his
life	NOUN	life
again	ADV	again
with	ADP	with
the	DET	the
man	NOUN	man
he	PRON	he
had	AUX	have
sworn	VERB	swear
to	PART	to
kill	VERB	kill
.	PUNCT	.
Once	ADV	once
more	ADV	more
he	PRON	he
was	AUX	be
trapped	VERB	trap
in	ADP	in
a	DET	a
maze	NOUN	maze
of	ADP	of
Galactic	ADJ	galactic
intrigue	NOUN	intrigue
that	PRON	that
reached	VERB	reach
far	ADV	far
back	ADV	back
into	ADP	into
his	PRON	his
past	NOUN	past
--	PUNCT	--
and	CCONJ	and
forward	ADV	forward
to	ADP	to
his	PRON	his
death	NOUN	death
.	PUNCT	.
Steve	PROPN	Steve
Nolan	PROPN	Nolan
was	AUX	be
three	NUM	three
years	NOUN	year
dead	ADJ	dead
,	PUNCT	,
pyro	NOUN	pyro
-	PUNCT	-
burned	VERB	burn
in	ADP	in
the	DET	the
black	ADJ	black
space	NOUN	space
off	ADP	off
Luna	PROPN	Luna
when	SCONJ	when
a	DET	a
prison	NOUN	prison
break	NOUN	break
failed	VERB	fail
.	PUNCT	.
But	CCONJ	but
Nolan	PROPN	Nolan
had	AUX	have
a	DET	a
job	NOUN	job
to	PART	to
do	AUX	do
.	PUNCT	.
Nolan	PROPN	Nolan
came	VERB	come
back	ADV	back
.	PUNCT	.
Where	SCONJ	where
the	DET	the
Avalon	PROPN	Avalon
Trail	PROPN	Trail
bends	VERB	bend
across	ADP	across
Annihilation	PROPN	Annihilation
Range	PROPN	Range
,	PUNCT	,
a	DET	a
thousand	NUM	thousand
icy	ADJ	icy
miles	NOUN	mile
from	ADP	from
Pluto	PROPN	Pluto
's	PART	's
northern	ADJ	northern
stem	NOUN	stem
,	PUNCT	,
Nolan	PROPN	Nolan
stopped	VERB	stop
and	CCONJ	and
closed	VERB	close
the	DET	the
intake	NOUN	intake
valve	NOUN	valve
of	ADP	of
his	PRON	his
helmet	NOUN	helmet
.	PUNCT	.
Count	VERB	count
five	NUM	five
seconds	NOUN	second
,	PUNCT	,
and	CCONJ	and
he	PRON	he
unhooked	VERB	unhook
the	DET	the
exhausted	ADJ	exhausted
tank	NOUN	tank
of	ADP	of
oxygen	NOUN	oxygen
;	PUNCT	;
count	VERB	count
ten	NUM	ten
more	ADJ	more
and	CCONJ	and
it	PRON	it
was	AUX	be
spinning	VERB	spin
away	ADV	away
,	PUNCT	,
end	NOUN	end
over	ADP	over
end	NOUN	end
over	ADV	over
Pluto	PROPN	Pluto
's	PART	's
frozen	ADJ	frozen
surface	NOUN	surface
,	PUNCT	,
and	CCONJ	and
a	DET	a
new	ADJ	new
tank	NOUN	tank
was	AUX	be
already	ADV	already
in	ADP	in
place	NOUN	place
.	PUNCT	.
He	PRON	he
slipped	VERB	slip
the	DET	the
pressure	NOUN	pressure
valve	NOUN	valve
and	CCONJ	and
inhaled	VERB	inhale
deeply	ADV	deeply
of	ADP	of
the	DET	the
new	ADJ	new
air	NOUN	air
.	PUNCT	.
He	PRON	he
'd	AUX	would
come	VERB	come
ten	NUM	ten
miles	NOUN	mile
by	ADP	by
the	DET	the
phosphorescent	ADJ	phosphorescent
figures	NOUN	figure
on	ADP	on
the	DET	the
nightstone	NOUN	nightstone
markers	NOUN	marker
beside	ADP	beside
the	DET	the
trail	NOUN	trail
.	PUNCT	.
Fifteen	NUM	fifteen
more	ADJ	more
miles	NOUN	mile
to	PART	to
go	VERB	go
.	PUNCT	.
His	PRON	his
cold	ADJ	cold
black	ADJ	black
eyes	NOUN	eye
stared	VERB	stare
absently	ADV	absently
at	ADP	at
the	DET	the
east	NOUN	east
,	PUNCT	,
where	SCONJ	where
the	DET	the
pseudo	NOUN	pseudo
-	PUNCT	-
life	NOUN	life
of	ADP	of
the	DET	the
great	ADJ	great
Plutonian	ADJ	plutonian
crystals	NOUN	crystal
rolled	VERB	roll
in	ADP	in
a	DET	a
shifting	VERB	shift
,	PUNCT	,
tinkling	VERB	tinkle
sea	NOUN	sea
.	PUNCT	.
He	PRON	he
noted	VERB	note
the	DET	the
water	NOUN	water
-	PUNCT	-
avid	ADJ	avid
crystals	NOUN	crystal
,	PUNCT	,
and	CCONJ	and
noted	VERB	note
the	DET	the
three	NUM	three
crablike	ADJ	crablike
crawlers	NOUN	crawler
that	PRON	that
munched	VERB	munch
a	DET	a
solitary	ADJ	solitary
clump	NOUN	clump
of	ADP	of
metallic	ADJ	metallic
grass	NOUN	grass
.	PUNCT	.
You	PRON	you
do	AUX	do
n't	PART	not
walk	VERB	walk
,	PUNCT	,
talk	VERB	talk
and	CCONJ	and
breathe	VERB	breathe
after	ADP	after
a	DET	a
Tri	PROPN	Tri
-	ADJ	-
planet	PROPN	planet
Lawman	PROPN	Lawman
has	AUX	have
declared	VERB	declare
you	PRON	you
dead	ADJ	dead
unless	SCONJ	unless
you	PRON	you
note	VERB	note
everything	PRON	everything
around	ADP	around
you	PRON	you
and	CCONJ	and
react	VERB	react
to	ADP	to
what	PRON	what
may	AUX	may
be	AUX	be
dangerous	ADJ	dangerous
.	PUNCT	.
But	CCONJ	but
he	PRON	he
was	AUX	be
looking	VERB	look
beyond	ADP	beyond
the	DET	the
familiar	ADJ	familiar
Plutonian	ADJ	plutonian
drear	NOUN	drear
,	PUNCT	,
to	ADP	to
the	DET	the
eastern	ADJ	eastern
horizon	NOUN	horizon
where	SCONJ	where
faint	ADJ	faint
lights	NOUN	light
gleamed	VERB	gleam
in	ADP	in
the	DET	the
dark	NOUN	dark
.	PUNCT	.
That	DET	that
was	AUX	be
Port	PROPN	Port
Avalon	PROPN	Avalon
.	PUNCT	.
That	DET	that
was	AUX	be
where	SCONJ	where
Steve	PROPN	Steve
Nolan	PROPN	Nolan
was	AUX	be
bound	VERB	bind
.	PUNCT	.
Woller	PROPN	Woller
was	AUX	be
in	ADP	in
Avalon	PROPN	Avalon
.	PUNCT	.
The	DET	the
Alan	PROPN	Alan
Woller	PROPN	Woller
who	PRON	who
had	AUX	have
made	VERB	make
him	PRON	he
an	DET	an
outlaw	NOUN	outlaw
,	PUNCT	,
roaming	VERB	roam
the	DET	the
star	NOUN	star
trails	NOUN	trail
from	ADP	from
Pluto	PROPN	Pluto
to	ADP	to
the	DET	the
Satellites	PROPN	Satellites
,	PUNCT	,
never	ADV	never
daring	VERB	dare
to	PART	to
return	VERB	return
to	ADP	to
the	DET	the
inner	ADJ	inner
worlds	NOUN	world
where	SCONJ	where
Tri	PROPN	Tri
-	PROPN	-
planet	PROPN	planet
kept	VERB	keep
order	NOUN	order
.	PUNCT	.
There	PRON	there
was	AUX	be
a	DET	a
slow	ADJ	slow
pulse	NOUN	pulse
mounting	VERB	mount
in	ADP	in
Nolan	PROPN	Nolan
's	PART	's
throat	NOUN	throat
as	ADP	as
he	PRON	he
walked	VERB	walk
on	ADP	on
,	PUNCT	,
savagely	ADV	savagely
kicking	VERB	kick
a	DET	a
crab	NOUN	crab
-	PUNCT	-
shelled	ADJ	shelled
crawler	NOUN	crawler
from	ADP	from
his	PRON	his
path	NOUN	path
.	PUNCT	.
He	PRON	he
'd	AUX	would
seen	VERB	see
the	DET	the
newssheet	NOUN	newssheet
,	PUNCT	,
months	NOUN	month
old	ADJ	old
,	PUNCT	,
in	ADP	in
a	DET	a
rickety	ADJ	rickety
old	ADJ	old
port	NOUN	port
on	ADP	on
one	NUM	one
of	ADP	of
the	DET	the
Satellites	PROPN	Satellites
--	PUNCT	--
Io	PROPN	Io
?	PUNCT	?
Ganymede?--when	PROPN	Ganymede?--when
he	PRON	he
was	AUX	be
down	ADP	down
to	ADP	to
forty	NUM	forty
credits	NOUN	credit
and	CCONJ	and
a	DET	a
friendly	ADJ	friendly
bartender	NOUN	bartender
.	PUNCT	.
It	PRON	it
had	AUX	have
n't	PART	not
been	AUX	be
much	ADJ	much
of	ADP	of
an	DET	an
item	NOUN	item
.	PUNCT	.
The	DET	the
kind	NOUN	kind
a	DET	a
country	NOUN	country
editor	NOUN	editor
throws	VERB	throw
into	ADP	into
his	PRON	his
finance	NOUN	finance
column	NOUN	column
when	SCONJ	when
he	PRON	he
unexpectedly	ADV	unexpectedly
loses	VERB	lose
an	DET	an
ad	NOUN	ad
and	CCONJ	and
has	AUX	have
to	PART	to
fill	VERB	fill
space	NOUN	space
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
new	ADJ	new
shipping	NOUN	shipping
company	NOUN	company
,	PUNCT	,
which	DET	which
expects	VERB	expect
to	PART	to
do	AUX	do
much	ADJ	much
for	ADP	for
improving	VERB	improve
commercial	ADJ	commercial
relations	NOUN	relation
with	ADP	with
the	DET	the
outer	ADJ	outer
planets	NOUN	planet
,	PUNCT	,
is	AUX	be
headed	VERB	head
by	ADP	by
Alan	PROPN	Alan
Woller	PROPN	Woller
,	PUNCT	,
formerly	ADV	formerly
with	ADP	with
the	DET	the
Interplanetary	PROPN	Interplanetary
Telenews	PROPN	Telenews
Company	PROPN	Company
.	PUNCT	.
Woller	PROPN	Woller
is	AUX	be
remembered	VERB	remember
as	ADP	as
the	DET	the
prosecution	NOUN	prosecution
's	PART	's
star	NOUN	star
witness	NOUN	witness
in	ADP	in
the	DET	the
trial	NOUN	trial
of	ADP	of
Steve	PROPN	Steve
Nolan	PROPN	Nolan
,	PUNCT	,
the	DET	the
Junta	PROPN	Junta
agent	NOUN	agent
indicted	VERB	indict
for	ADP	for
treason	NOUN	treason
three	NUM	three
years	NOUN	year
ago	ADV	ago
.	PUNCT	.
Nolan	PROPN	Nolan
,	PUNCT	,
sentenced	VERB	sentence
to	ADP	to
life	NOUN	life
imprisonment	NOUN	imprisonment
in	ADP	in
Luna	PROPN	Luna
Cave	PROPN	Cave
,	PUNCT	,
was	AUX	be
killed	VERB	kill
while	SCONJ	while
attempting	VERB	attempt
to	PART	to
escape	VERB	escape
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
new	ADJ	new
company	NOUN	company
