available	ADJ	available
by	ADP	by
The	DET	the
Internet	PROPN	Internet
Archive	PROPN	Archive
/	SYM	/
American	PROPN	American
Libraries	PROPN	Libraries
.	PUNCT	.
An	DET	an
Idyll	NOUN	idyll
of	ADP	of
All	DET	all
Fools	NOUN	fool
'	PART	'
Day	PROPN	Day
An	DET	an
Idyll	NOUN	idyll
of	ADP	of
All	DET	all
Fools	NOUN	fool
'	PART	'
Day	PROPN	Day
By	ADP	by
Josephine	PROPN	Josephine
Daskam	PROPN	Daskam
Bacon	PROPN	Bacon
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
Memoirs	NOUN	memoir
of	ADP	of
a	DET	a
Baby	NOUN	baby
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
The	DET	the
Madness	NOUN	madness
of	ADP	of
Philip	PROPN	Philip
,	PUNCT	,
""""	PUNCT	""""
etc	X	etc
.	X	.
_	PUNCT	_
With	ADP	with
numerous	ADJ	numerous
illustrations	NOUN	illustration
_	PUNCT	_
By	ADP	by
R.	PROPN	R.
M.	PROPN	M.
Crosby	PROPN	Crosby
New	PROPN	New
York	PROPN	York
Dodd	PROPN	Dodd
,	PUNCT	,
Mead	PROPN	Mead
and	CCONJ	and
Company	PROPN	Company
1908	NUM	1908
Copyright	NOUN	copyright
,	PUNCT	,
1908	NUM	1908
,	PUNCT	,
by	ADP	by
The	DET	the
Phillips	PROPN	Phillips
Publishing	PROPN	Publishing
Co.	PROPN	Co.
Copyright	NOUN	copyright
,	PUNCT	,
1908	NUM	1908
,	PUNCT	,
by	ADP	by
Dodd	PROPN	Dodd
,	PUNCT	,
Mead	PROPN	Mead
&	CCONJ	&
Company	PROPN	Company
_	PUNCT	_
Published	VERB	publish
,	PUNCT	,
October	PROPN	October
,	PUNCT	,
1908	NUM	1908
_	PUNCT	_
To	ADP	to
A.	PROPN	A.
A.	PROPN	A.
B.	PROPN	B.
this	DET	this
bit	NOUN	bit
of	ADP	of
busy	ADJ	busy
nonsense	NOUN	nonsense
is	AUX	be
dedicated	VERB	dedicate
.	PROPN	.
J.	PROPN	J.
D.	PROPN	D.
B.	PROPN	B.
ILLUSTRATIONS	NOUN	illustration
""""	PUNCT	""""
Only	ADV	only
her	PRON	her
shriek	NOUN	shriek
of	ADP	of
terror	NOUN	terror
saved	VERB	save
them	PRON	they
from	ADP	from
the	DET	the
stone	NOUN	stone
wall	NOUN	wall
""""	PUNCT	""""
(	PUNCT	(
p	NOUN	p
,	PUNCT	,
47	NUM	47
)	PUNCT	)
Frontispiece	NOUN	frontispiece
Facing	VERB	face
page	NOUN	page
""""	PUNCT	""""
'	PUNCT	'
Here	ADV	here
we	PRON	we
are	AUX	be
at	ADP	at
last	ADV	last
,	PUNCT	,
Nette	PROPN	Nette
dear	NOUN	dear
,	PUNCT	,
dressed	VERB	dress
in	ADP	in
our	PRON	our
best	ADJ	good
for	ADP	for
you	PRON	you
!	PUNCT	!
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
On	ADP	on
the	DET	the
right	NOUN	right
,	PUNCT	,
'	PUNCT	'
he	PRON	he
began	VERB	begin
didactically	ADV	didactically
""""	PUNCT	""""
""""	PUNCT	""""
The	DET	the
red	ADJ	red
-	PUNCT	-
headed	ADJ	headed
boy	NOUN	boy
bounded	VERB	bound
beside	ADP	beside
them	PRON	they
,	PUNCT	,
whooping	VERB	whoop
madly	ADV	madly
""""	PUNCT	""""
""""	PUNCT	""""
At	ADP	at
the	DET	the
risk	NOUN	risk
of	ADP	of
losing	VERB	lose
his	PRON	his
straight	ADJ	straight
course	NOUN	course
he	PRON	he
stole	VERB	steal
a	DET	a
rapid	ADJ	rapid
glance	NOUN	glance
at	ADP	at
her	PRON	she
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Jump	VERB	jump
!	PUNCT	!
Jump	VERB	jump
!	PUNCT	!
'	PUNCT	'
he	PRON	he
cried	VERB	cry
hoarsely	ADV	hoarsely
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Well	ADV	well
,	PUNCT	,
here	ADV	here
we	PRON	we
are	AUX	be
!	PUNCT	!
'	PUNCT	'
he	PRON	he
said	VERB	say
tentatively	ADV	tentatively
""""	PUNCT	""""
""""	PUNCT	""""
Nette	PROPN	Nette
,	PUNCT	,
wringing	VERB	wring
her	PRON	her
hair	NOUN	hair
and	CCONJ	and
murmuring	VERB	murmur
incoherent	ADJ	incoherent
abnegations	NOUN	abnegation
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Mademoiselle	PROPN	Mademoiselle
,	PUNCT	,
'	PUNCT	'
he	PRON	he
began	VERB	begin
,	PUNCT	,
'	PUNCT	'
you	PRON	you
are	AUX	be
--	PUNCT	--
you	PRON	you
are--	PUNCT	are--
'	PUNCT	'
he	PRON	he
paused	VERB	pause
,	PUNCT	,
for	ADP	for
genuine	ADJ	genuine
lack	NOUN	lack
of	ADP	of
words	NOUN	word
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
This	DET	this
gentleman	NOUN	gentleman
here	ADV	here
will	AUX	will
take	VERB	take
you	PRON	you
down	ADV	down
directly	ADV	directly
'	PUNCT	'
""""	PUNCT	""""
THE	DET	the
ESCAPE	PROPN	ESCAPE
I.	PUNCT	I.
