available	ADJ	available
by	ADP	by
The	DET	the
Internet	PROPN	Internet
Archive	PROPN	Archive
/	SYM	/
American	PROPN	American
Libraries	PROPN	Libraries
.	PUNCT	.
A	PROPN	A
BACHELOR	PROPN	BACHELOR
HUSBAND	PROPN	HUSBAND
BY	PROPN	BY
RUBY	PROPN	RUBY
M.	PROPN	M.
AYRES	PROPN	AYRES
AUTHOR	PROPN	AUTHOR
OF	ADP	of
""""	PUNCT	""""
RICHARD	PROPN	RICHARD
CHATTERTON	PROPN	CHATTERTON
,	PUNCT	,
""""	PUNCT	""""
ETC	PROPN	ETC
.	PUNCT	.
Frontispiece	NOUN	frontispiece
by	ADP	by
PAUL	PROPN	PAUL
STAHR	PROPN	STAHR
New	PROPN	New
York	PROPN	York
W.	PROPN	W.
J.	PROPN	J.
Watt	PROPN	Watt
&	CCONJ	&
Company	PROPN	Company
PUBLISHERS	PROPN	PUBLISHERS
COPYRIGHT	PROPN	COPYRIGHT
,	PUNCT	,
1920	NUM	1920
,	PUNCT	,
BY	PROPN	BY
W.	PROPN	W.
J.	PROPN	J.
WATT	PROPN	WATT
&	CCONJ	&
COMPANY	PROPN	COMPANY
Printed	VERB	print
in	ADP	in
the	DET	the
United	PROPN	United
States	PROPN	States
of	ADP	of
America	PROPN	America
TO	PROPN	TO
FEATHERS	PROPN	FEATHERS
CHAPTER	NOUN	chapter
I	NUM	i
""""	PUNCT	""""
Ah	INTJ	ah
,	PUNCT	,
then	ADV	then
,	PUNCT	,
was	AUX	be
it	PRON	it
all	DET	all
spring	NOUN	spring
weather	NOUN	weather
?	PUNCT	?
Nay	INTJ	nay
!	PUNCT	!
but	CCONJ	but
we	PRON	we
were	AUX	be
young	ADJ	young
--	PUNCT	--
and	CCONJ	and
together	ADV	together
.	PUNCT	.
""""	PUNCT	""""
SHE	PRON	she
had	AUX	have
always	ADV	always
adored	VERB	adore
him	PRON	he
.	PUNCT	.
From	ADP	from
the	DET	the
first	ADJ	first
moment	NOUN	moment
he	PRON	he
came	VERB	come
to	ADP	to
the	DET	the
house	NOUN	house
--	PUNCT	--
an	DET	an
overgrown	ADJ	overgrown
,	PUNCT	,
good	ADJ	good
-	PUNCT	-
looking	ADJ	looking
schoolboy	NOUN	schoolboy
,	PUNCT	,
and	CCONJ	and
had	AUX	have
started	VERB	start
to	PART	to
bully	VERB	bully
and	CCONJ	and
domineer	VERB	domineer
over	ADP	over
her	PRON	she
,	PUNCT	,
Marie	PROPN	Marie
Chester	PROPN	Chester
had	AUX	have
thought	VERB	think
him	PRON	he
the	DET	the
most	ADV	most
wonderful	ADJ	wonderful
person	NOUN	person
in	ADP	in
all	DET	all
the	DET	the
world	NOUN	world
.	PUNCT	.
She	PRON	she
waited	VERB	wait
on	ADP	on
him	PRON	he
hand	NOUN	hand
and	CCONJ	and
foot	NOUN	foot
,	PUNCT	,
she	PRON	she
was	AUX	be
his	PRON	his
willing	ADJ	willing
bondslave	NOUN	bondslave
;	PUNCT	;
she	PRON	she
did	AUX	do
not	PART	not
mind	VERB	mind
at	ADV	at
all	ADV	all
when	SCONJ	when
once	ADV	once
,	PUNCT	,
in	ADP	in
an	DET	an
unusual	ADJ	unusual
fit	NOUN	fit
of	ADP	of
eloquence	NOUN	eloquence
,	PUNCT	,
she	PRON	she
had	AUX	have
confided	VERB	confide
in	ADP	in
him	PRON	he
that	SCONJ	that
she	PRON	she
thought	VERB	think
it	PRON	it
was	AUX	be
the	DET	the
loveliest	ADJ	lovely
thing	NOUN	thing
on	ADP	on
earth	NOUN	earth
to	PART	to
have	AUX	have
a	DET	a
brother	NOUN	brother
,	PUNCT	,
young	ADJ	young
Christopher	PROPN	Christopher
answered	VERB	answer
almost	ADV	almost
brutally	ADV	brutally
that	SCONJ	that
she	PRON	she
""""	PUNCT	""""
talked	VERB	talk
rot	NOUN	rot
,	PUNCT	,
anyway	ADV	anyway
,	PUNCT	,
and	CCONJ	and
that	SCONJ	that
sisters	NOUN	sister
were	AUX	be
a	DET	a
bally	NOUN	bally
nuisance	NOUN	nuisance
!	PUNCT	!
""""	PUNCT	""""
He	PRON	he
looked	VERB	look
at	ADP	at
her	PRON	she
with	ADP	with
a	DET	a
sort	NOUN	sort
of	ADP	of
contempt	NOUN	contempt
for	ADP	for
a	DET	a
moment	NOUN	moment
,	PUNCT	,
then	ADV	then
added	VERB	add
:	PUNCT	:
""""	PUNCT	""""
Besides	ADV	besides
,	PUNCT	,
we	PRON	we
're	AUX	be
not	PART	not
brother	NOUN	brother
and	CCONJ	and
sister	NOUN	sister
,	PUNCT	,
really	ADV	really
!	PUNCT	!
""""	PUNCT	""""
They	PRON	they
were	AUX	be
not	PART	not
;	PUNCT	;
but	CCONJ	but
their	PRON	their
fathers	NOUN	father
had	AUX	have
been	AUX	be
lifelong	ADJ	lifelong
friends	NOUN	friend
,	PUNCT	,
and	CCONJ	and
when	SCONJ	when
George	PROPN	George
Chester	PROPN	Chester
's	PART	's
wife	NOUN	wife
inconsiderately	ADV	inconsiderately
--	PUNCT	--
or	CCONJ	or
so	ADV	so
her	PRON	her
husband	NOUN	husband
thought	VERB	think
--	PUNCT	--
died	VERB	die
without	ADP	without
presenting	VERB	present
him	PRON	he
with	ADP	with
a	DET	a
son	NOUN	son
,	PUNCT	,
and	CCONJ	and
almost	ADV	almost
