Transcribed	VERB	transcribe
from	ADP	from
the	DET	the
1889	NUM	1889
Macmillan	PROPN	Macmillan
and	CCONJ	and
Co.	PROPN	Co.
edition	NOUN	edition
by	ADP	by
David	PROPN	David
Price	PROPN	Price
,	PUNCT	,
email	X	email
ccx074@pglaf.org	X	ccx074@pglaf.org
A	PROPN	A
MODERN	PROPN	MODERN
TELEMACHUS	PROPN	TELEMACHUS
{	PUNCT	{
'	PUNCT	'
Be	AUX	be
still	ADJ	still
'	PUNCT	'
illustration	NOUN	illustration
:	PUNCT	:
p1.jpg	X	p1.jpg
}	PUNCT	}
'	PUNCT	'
Be	AUX	be
still	ADJ	still
;	PUNCT	;
I	PRON	I
want	VERB	want
to	PART	to
hear	VERB	hear
what	PRON	what
they	PRON	they
are	AUX	be
saying	VERB	say
.	PUNCT	.
'--P.	NOUN	'--p.
2	NUM	2
.	PROPN	.
ILLUSTRATED	VERB	illustrate
BY	ADP	by
W.	PROPN	W.
J.	PROPN	J.
HENNESSY	PROPN	HENNESSY
.	PROPN	.
London	PROPN	London
MACMILLAN	PROPN	MACMILLAN
AND	CCONJ	and
CO	PROPN	CO
.	PROPN	.
AND	CCONJ	and
NEW	PROPN	NEW
YORK	PROPN	YORK
1889	NUM	1889
_	PUNCT	_
All	DET	all
rights	NOUN	right
reserved	VERB	reserve
_	PUNCT	_
_	PUNCT	_
First	ADJ	first
Edition	NOUN	edition
_	PUNCT	_
(	PUNCT	(
2	NUM	2
_	PUNCT	_
Vols	PROPN	Vols
.	PUNCT	.
Crown	PROPN	Crown
_	PUNCT	_
8_vo	X	8_vo
_	PUNCT	_
)	PUNCT	)
1886	NUM	1886
_	PUNCT	_
Reprinted	VERB	reprint
_	PUNCT	_
1887	NUM	1887
,	PUNCT	,
1889	NUM	1889
PREFACE	PROPN	PREFACE
The	DET	the
idea	NOUN	idea
of	ADP	of
this	DET	this
tale	NOUN	tale
was	AUX	be
taken	VERB	take
from	ADP	from
_	PUNCT	_
The	DET	the
Mariners	PROPN	Mariners
'	PART	'
Chronicle	PROPN	Chronicle
_	PUNCT	_
,	PUNCT	,
compiled	VERB	compile
by	ADP	by
a	DET	a
person	NOUN	person
named	VERB	name
Scott	PROPN	Scott
early	ADV	early
in	ADP	in
the	DET	the
last	ADJ	last
century	NOUN	century
--	PUNCT	--
a	DET	a
curious	ADJ	curious
book	NOUN	book
of	ADP	of
narratives	NOUN	narrative
of	ADP	of
maritime	ADJ	maritime
adventures	NOUN	adventure
,	PUNCT	,
with	ADP	with
exceedingly	ADV	exceedingly
quaint	ADJ	quaint
illustrations	NOUN	illustration
.	PUNCT	.
Nothing	PRON	nothing
has	AUX	have
ever	ADV	ever
shown	VERB	show
me	PRON	I
more	ADV	more
