SUBSPACE	NOUN	subspace
SURVIVORS	NOUN	survivor
by	ADP	by
EDWARD	PROPN	EDWARD
E.	PROPN	E.
SMITH	PROPN	SMITH
,	PUNCT	,
Ph	PROPN	Ph
.	PROPN	.
D.	PROPN	D.
Illustrated	VERB	illustrate
by	ADP	by
van	PROPN	van
Dongen	PROPN	Dongen
+	PUNCT	+
--------------------------------------------------------------+	PUNCT	--------------------------------------------------------------+
|	PUNCT	|
_	X	_
There	PRON	there
has	AUX	have
always	ADV	always
been	AUX	be
,	PUNCT	,
and	CCONJ	and
will	AUX	will
always	ADV	always
be	AUX	be
,	PUNCT	,
the	DET	the
problem	NOUN	problem
of	ADP	of
|	PUNCT	|
|	PUNCT	|
surviving	VERB	survive
the	DET	the
experience	NOUN	experience
that	PRON	that
any	DET	any
trained	VERB	train
expert	NOUN	expert
can	AUX	can
handle	VERB	handle
|	PUNCT	|
|	PUNCT	|
...	PUNCT	...
when	SCONJ	when
there	PRON	there
has	AUX	have
n't	PART	not
been	AUX	be
any	DET	any
first	ADJ	first
survivor	NOUN	survivor
to	PART	to
be	AUX	be
an	DET	an
|	PUNCT	|
|	PUNCT	|
expert	NOUN	expert
!	PUNCT	!
When	SCONJ	when
no	DET	no
one	NOUN	one
has	AUX	have
ever	ADV	ever
gotten	VERB	get
back	ADV	back
to	PART	to
explain	VERB	explain
what	PRON	what
|	PUNCT	|
|	PUNCT	|
happened	VERB	happen
....	PUNCT	....
_	PUNCT	_
|	PUNCT	|
+	PUNCT	+
--------------------------------------------------------------+	PUNCT	--------------------------------------------------------------+
I.	X	i.
""""	PUNCT	""""
All	DET	all
passengers	NOUN	passenger
,	PUNCT	,
will	AUX	will
you[1	X	you[1
]	X	]
pay	VERB	pay
attention	NOUN	attention
,	PUNCT	,
please	INTJ	please
?	PUNCT	?
""""	PUNCT	""""
All	DET	all
the	DET	the
high	ADJ	high
-	PUNCT	-
fidelity	NOUN	fidelity
speakers	NOUN	speaker
of	ADP	of
the	DET	the
starship	NOUN	starship
_	PROPN	_
Procyon	PROPN	Procyon
_	PUNCT	_
spoke	VERB	speak
as	ADP	as
one	NUM	one
,	PUNCT	,
in	ADP	in
the	DET	the
skillfully	ADV	skillfully
-	PUNCT	-
modulated	VERB	modulate
voice	NOUN	voice
of	ADP	of
the	DET	the
trained	VERB	train
announcer	NOUN	announcer
.	PUNCT	.
""""	PUNCT	""""
This	DET	this
is	AUX	be
the	DET	the
fourth	ADJ	fourth
and	CCONJ	and
last	ADJ	last
cautionary	ADJ	cautionary
announcement	NOUN	announcement
.	PUNCT	.
Any	DET	any
who	PRON	who
are	AUX	be
not	PART	not
seated	VERB	seat
will	AUX	will
seat	VERB	seat
themselves	PRON	themselves
at	ADP	at
once	ADV	once
.	PUNCT	.
Prepare	VERB	prepare
for	ADP	for
take	VERB	take
-	PUNCT	-
off	ADP	off
acceleration	NOUN	acceleration
of	ADP	of
one	NUM	one
and	CCONJ	and
one	NUM	one
-	PUNCT	-
half	NOUN	half
gravities	NOUN	gravity
;	PUNCT	;
that	DET	that
is	AUX	be
,	PUNCT	,
everyone	PRON	everyone
will	AUX	will
weigh	VERB	weigh
one	NUM	one
-	PUNCT	-
half	NOUN	half
again	ADV	again
as	ADP	as
much	ADJ	much
as	ADP	as
his	PRON	his
normal	ADJ	normal
Earth	PROPN	Earth
weight	NOUN	weight
for	ADP	for
about	ADP	about
fifteen	NUM	fifteen
minutes	NOUN	minute
.	PUNCT	.
We	PRON	we
lift	VERB	lift
in	ADP	in
twenty	NUM	twenty
seconds	NOUN	second
;	PUNCT	;
I	PRON	I
will	AUX	will
count	VERB	count
down	ADP	down
the	DET	the
final	ADJ	final
five	NUM	five
seconds	NOUN	second
....	PUNCT	....
Five	NUM	five
...	PUNCT	...
Four	NUM	four
...	PUNCT	...
Three	NUM	three
...	PUNCT	...
Two	NUM	two
...	PUNCT	...
One	NUM	one
...	PUNCT	...
Lift	NOUN	lift
!	PUNCT	!
""""	PUNCT	""""
The	DET	the
immense	ADJ	immense
vessel	NOUN	vessel
rose	VERB	rise
from	ADP	from
her	PRON	her
berth	NOUN	berth
;	PUNCT	;
slowly	ADV	slowly
at	ADP	at
first	ADV	first
,	PUNCT	,
but	CCONJ	but
with	ADP	with
ever	ADV	ever
-	PUNCT	-
increasing	VERB	increase
velocity	NOUN	velocity
;	PUNCT	;
and	CCONJ	and
in	ADP	in
the	DET	the
main	ADJ	main
lounge	NOUN	lounge
,	PUNCT	,
where	SCONJ	where
many	ADJ	many
of	ADP	of
the	DET	the
passengers	NOUN	passenger
had	AUX	have
gathered	VERB	gather
to	PART	to
watch	VERB	watch
the	DET	the
dwindling	VERB	dwindle
Earth	NOUN	earth
,	PUNCT	,
no	DET	no
one	PRON	one
moved	VERB	move
for	ADP	for
the	DET	the
first	ADJ	first
five	NUM	five
minutes	NOUN	minute
.	PUNCT	.
Then	ADV	then
a	DET	a
girl	NOUN	girl
stood	VERB	stand
up	ADP	up
.	PUNCT	.
She	PRON	she
was	AUX	be
not	PART	not
a	DET	a
startlingly	ADV	startlingly
beautiful	ADJ	beautiful
girl	NOUN	girl
;	PUNCT	;
no	ADV	no
more	ADV	more
so	ADV	so
than	ADP	than
can	AUX	can
be	AUX	be
