&	CCONJ	&
the	DET	the
online	ADJ	online
Distributed	PROPN	Distributed
Proofreaders	PROPN	Proofreaders
Canada	PROPN	Canada
team	NOUN	team
at	ADP	at
http://www.pgdpcanada.net	X	http://www.pgdpcanada.net
The	DET	the
Love	NOUN	love
-	PUNCT	-
Story	PROPN	Story
of	ADP	of
Aliette	PROPN	Aliette
Brunton	PROPN	Brunton
By	ADP	by
Gilbert	PROPN	Gilbert
Frankau	PROPN	Frankau
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
F.	PROPN	F.
D.	PROPN	D.
GOODCHILD	PROPN	GOODCHILD
TORONTO	PROPN	TORONTO
1922	NUM	1922
Copyright	NOUN	copyright
,	PUNCT	,
1922	NUM	1922
,	PUNCT	,
by	ADP	by
THE	DET	the
CENTURY	PROPN	CENTURY
CO	PROPN	CO
.	PUNCT	.
Printed	VERB	print
in	ADP	in
U.	PROPN	U.
S.	PROPN	S.
A.	PROPN	A.
TO	PROPN	TO
MY	PRON	my
WIFE	NOUN	wife
AND	CCONJ	and
LOYAL	PROPN	LOYAL
ASSOCIATE	PROPN	ASSOCIATE
AIMÉE	PROPN	AIMÉE
DE	PROPN	DE
BURGH	PROPN	BURGH
FRANKAU	PROPN	FRANKAU
IN	PROPN	IN
ALL	DET	all
LOVE	NOUN	love
AND	CCONJ	and
A	DET	a
GREAT	ADJ	great
REVERENCE	NOUN	reverence
THIS	DET	this
STORY	NOUN	story
OF	ADP	of
A	DET	a
WOMAN	NOUN	woman
'S	PART	's
COURAGE	NOUN	courage
But	CCONJ	but
woman	NOUN	woman
's	PART	's
gamble	NOUN	gamble
(	PUNCT	(
there	PRON	there
's	AUX	be
only	ADV	only
one	NUM	one
;	PUNCT	;
And	CCONJ	and
it	PRON	it
takes	VERB	take
some	DET	some
pluck	NOUN	pluck
to	PART	to
play	VERB	play
,	PUNCT	,
When	SCONJ	when
the	DET	the
rules	NOUN	rule
are	AUX	be
broke	VERB	break
ere	ADP	ere
the	DET	the
game	NOUN	game
's	AUX	be
begun	VERB	begin
;	PUNCT	;
When	SCONJ	when
,	PUNCT	,
lose	VERB	lose
_	SYM	_
or	CCONJ	or
_	PUNCT	_
win	VERB	win
,	PUNCT	,
you	PRON	you
must	AUX	must
pay	VERB	pay
!	PUNCT	!
)	PUNCT	)
Is	AUX	be
a	DET	a
double	ADJ	double
wager	NOUN	wager
on	ADP	on
human	ADJ	human
kind	NOUN	kind
,	PUNCT	,
A	DET	a
limitless	ADJ	limitless
risk	NOUN	risk
--	PUNCT	--
and	CCONJ	and
she	PRON	she
goes	VERB	go
it	PRON	it
blind	ADJ	blind
.	PUNCT	.
For	CCONJ	for
she	PRON	she
stakes	VERB	stake
,	PUNCT	,
at	ADP	at
love	NOUN	love
,	PUNCT	,
on	ADP	on
a	DET	a
single	ADJ	single
throw	NOUN	throw
,	PUNCT	,
Pride	NOUN	pride
,	PUNCT	,
Honor	NOUN	honor
,	PUNCT	,
Scruples	NOUN	scruple
,	PUNCT	,
and	CCONJ	and
Fears	NOUN	fear
,	PUNCT	,
And	CCONJ	and
dreams	NOUN	dream
no	DET	no
lover	NOUN	lover
can	AUX	can
hope	VERB	hope
to	PART	to
know	VERB	know
,	PUNCT	,
And	CCONJ	and
the	DET	the
gold	NOUN	gold
of	ADP	of
the	DET	the
after	NOUN	after
-	PUNCT	-
years	NOUN	year
.	PUNCT	.
(	PUNCT	(
And	CCONJ	and
all	DET	all
for	ADP	for
a	DET	a
man	NOUN	man
;	PUNCT	;
and	CCONJ	and
there	PRON	there
's	AUX	be
no	DET	no
man	NOUN	man
lives	VERB	live
Who	PRON	who
is	AUX	be
worth	ADJ	worth
the	DET	the
odds	NOUN	odd
that	SCONJ	that
a	DET	a
woman	NOUN	woman
gives	VERB	give
.	PUNCT	.
)	PUNCT	)
--From	PUNCT	--From
""""	PUNCT	""""
The	DET	the
Judgment	NOUN	judgment
of	ADP	of
Valhalla	PROPN	Valhalla
.	PUNCT	.
""""	PUNCT	""""
THE	DET	the
LOVE	NOUN	love
-	PUNCT	-
STORY	NOUN	story
OF	ADP	of
ALIETTE	PROPN	ALIETTE
BRUNTON	PROPN	BRUNTON
The	DET	the
Love	NOUN	love
-	PUNCT	-
Story	PROPN	Story
of	ADP	of
Aliette	PROPN	Aliette
Brunton	PROPN	Brunton
PREAMBLE	PROPN	PREAMBLE
1	NUM	1
In	ADP	in
our	PRON	our
heart	NOUN	heart
of	ADP	of
hearts	NOUN	heart
--	PUNCT	--
which	DET	which
we	PRON	we
in	ADP	in
England	PROPN	England
take	VERB	take
almost	ADV	almost
as	ADV	as
much	ADJ	much
pains	NOUN	pain
to	PART	to
hide	VERB	hide
from	ADP	from
ourselves	PRON	ourselves
as	ADP	as
from	ADP	from
our	PRON	our
fellow	ADJ	fellow
-	PUNCT	-
creatures	NOUN	creature
--	PUNCT	--
most	ADJ	most
of	ADP	of
us	PRON	we
realize	VERB	realize
that	SCONJ	that
life	NOUN	life
without	ADP	without
love	NOUN	love
is	AUX	be
a	DET	a
weariness	NOUN	weariness
,	PUNCT	,
a	DET	a
conflict	NOUN	conflict
bereft	ADJ	bereft
of	ADP	of
hope	NOUN	hope
,	PUNCT	,
a	DET	a
struggle	NOUN	struggle
for	ADP	for
no	DET	no
victory	NOUN	victory
.	PUNCT	.
Yet	CCONJ	yet
Love	PROPN	Love
,	PUNCT	,
the	DET	the
Real	PROPN	Real
Thing	NOUN	thing
--	PUNCT	--
whether	SCONJ	whether
it	PRON	it
be	AUX	be
love	NOUN	love
of	ADP	of
a	DET	a
god	NOUN	god
or	CCONJ	or
love	NOUN	love
of	ADP	of
our	PRON	our
fellow	NOUN	fellow
-	PUNCT	-
creatures	NOUN	creature
,	PUNCT	,
the	DET	the
love	NOUN	love
of	ADP	of
a	DET	a
man	NOUN	man
for	ADP	for
his	PRON	his
mate	NOUN	mate
,	PUNCT	,
of	ADP	of
a	DET	a
mother	NOUN	mother
for	ADP	for
her	PRON	her
son	NOUN	son
,	PUNCT	,
of	ADP	of
a	DET	a
friend	NOUN	friend
for	ADP	for
his	PRON	his
friend	NOUN	friend
or	CCONJ	or
a	DET	a
girl	NOUN	girl
for	ADP	for
her	PRON	she
chosen	VERB	choose
--	PUNCT	--
is	AUX	be
not	PART	not
the	DET	the
law	NOUN	law
of	ADP	of
the	DET	the
majority	NOUN	majority
.	PUNCT	.
Because	SCONJ	because
Love	PROPN	Love
,	PUNCT	,
the	DET	the
Real	PROPN	Real
Thing	PROPN	Thing
--	PUNCT	--
as	ADP	as
all	DET	all
real	ADJ	real
things	NOUN	thing
--	PUNCT	--
demands	VERB	demand
infinite	ADJ	infinite
self	NOUN	self
-	PUNCT	-
sacrifice	NOUN	sacrifice
:	PUNCT	:
and	CCONJ	and
infinite	ADJ	infinite
self	NOUN	self
-	PUNCT	-
sacrifice	NOUN	sacrifice
is	AUX	be
too	ADV	too
divine	ADJ	divine
a	DET	a
code	NOUN	code
for	ADP	for
the	DET	the
average	ADJ	average
imperfect	ADJ	imperfect
human	NOUN	human
being	NOUN	being
,	PUNCT	,
who	PRON	who
must	AUX	must
needs	X	needs
make	VERB	make
himself	PRON	himself
other	ADJ	other
codes	NOUN	code
or	CCONJ	or
perish	VERB	perish
.	PUNCT	.
This	DET	this
,	PUNCT	,
therefore	ADV	therefore
,	PUNCT	,
Aliette	PROPN	Aliette
's	PART	's
love	NOUN	love
-	PUNCT	-
story	NOUN	story
,	PUNCT	,
deals	VERB	deal
of	ADP	of
necessity	NOUN	necessity
with	ADP	with
the	DET	the
self	NOUN	self
-	PUNCT	-
sacrifices	NOUN	sacrifice
endured	VERB	endure
not	PART	not
only	ADV	only
by	ADP	by
Aliette	PROPN	Aliette
but	CCONJ	but
by	ADP	by
many	ADJ	many
of	ADP	of
those	DET	those
who	PRON	who
came	VERB	come
within	ADP	within
the	DET	the
orbit	NOUN	orbit
of	ADP	of
her	PRON	her
personality	NOUN	personality
.	PUNCT	.
Rightly	ADV	rightly
to	PART	to
understand	VERB	understand
the	DET	the
people	NOUN	people
of	ADP	of
this	DET	this
tale	NOUN	tale
and	CCONJ	and
the	DET	the
motives	NOUN	motive
which	DET	which
swayed	VERB	sway
them	PRON	they
,	PUNCT	,
it	PRON	it
is	AUX	be
vital	ADJ	vital
that	SCONJ	that
you	PRON	you
should	AUX	should
comprehend	VERB	comprehend
,	PUNCT	,
at	ADP	at
the	DET	the
very	ADJ	very
outset	NOUN	outset
,	PUNCT	,
how	SCONJ	how
essentially	ADV	essentially
English	ADJ	english
they	PRON	they
all	DET	all
were	AUX	be
;	PUNCT	;
how	SCONJ	how
essentially	ADV	essentially
old	ADJ	old
-	PUNCT	-
