JEWEL	PROPN	JEWEL
MYSTERIES	NOUN	mystery
:	PUNCT	:
""""	PUNCT	""""
He	PRON	he
had	AUX	have
turned	VERB	turn
the	DET	the
pistol	NOUN	pistol
to	ADP	to
his	PRON	his
head	NOUN	head
and	CCONJ	and
blown	VERB	blow
his	PRON	his
brains	NOUN	brain
out	ADP	out
.	PUNCT	.
""""	PUNCT	""""
--_Page	PUNCT	--_Page
27	NUM	27
_	PUNCT	_
]	X	]
Jewel	NOUN	jewel
Mysteries	NOUN	mystery
From	ADP	from
a	DET	a
Dealer	NOUN	dealer
's	PART	's
Note	PROPN	Note
Book	NOUN	book
BY	PROPN	BY
MAX	PROPN	MAX
PEMBERTON	PROPN	PEMBERTON
_	PUNCT	_
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
The	DET	the
Garden	PROPN	Garden
of	ADP	of
Swords	PROPN	Swords
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Kronstadt	PROPN	Kronstadt
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
The	DET	the
Iron	PROPN	Iron
Pirate	PROPN	Pirate
,	PUNCT	,
""""	PUNCT	""""
etc	X	etc
.	X	.
,	PUNCT	,
etc	X	etc
.	PUNCT	.
_	PUNCT	_
R.	PROPN	R.
F.	PROPN	F.
FENNO	PROPN	FENNO
&	CCONJ	&
COMPANY	PROPN	COMPANY
_	PUNCT	_
9	NUM	9
&	CCONJ	&
11	NUM	11
East	PROPN	East
Sixteenth	PROPN	Sixteenth
Street	PROPN	Street
,	PUNCT	,
New	PROPN	New
York	PROPN	York
City	PROPN	City
:	PUNCT	:
1904	NUM	1904
_	PUNCT	_
CONTENTS	NOUN	content
.	PUNCT	.
PAGE	X	page
THE	DET	the
OPAL	NOUN	opal
OF	ADP	of
CARMALOVITCH	PROPN	CARMALOVITCH
9	NUM	9
THE	DET	the
NECKLACE	NOUN	necklace
OF	ADP	of
GREEN	PROPN	GREEN
DIAMONDS	NOUN	diamond
33	NUM	33
THE	DET	the
COMEDY	NOUN	comedy
OF	ADP	of
THE	DET	the
JEWELED	ADJ	jeweled
LINKS	NOUN	link
57	NUM	57
TREASURE	NOUN	treasure
OF	ADP	of
WHITE	PROPN	WHITE
CREEK	PROPN	CREEK
79	NUM	79
THE	DET	the
ACCURSED	VERB	accurse
GEMS	NOUN	gem
109	NUM	109
THE	DET	the
WATCH	NOUN	watch
AND	CCONJ	and
THE	DET	the
SCIMITAR	NOUN	scimitar
133	NUM	133
THE	DET	the
SEVEN	PROPN	SEVEN
EMERALDS	NOUN	emerald
157	NUM	157
THE	DET	the
PURSUIT	NOUN	pursuit
OF	ADP	of
THE	DET	the
TOPAZ	NOUN	topaz
187	NUM	187
THE	DET	the
RIPENING	VERB	ripen
RUBIES	NOUN	ruby
217	NUM	217
MY	PROPN	MY
LADY	NOUN	lady
OF	ADP	of
THE	DET	the
SAPPHIRES	NOUN	sapphire
245	NUM	245
THE	DET	the
OPAL	NOUN	opal
OF	ADP	of
CARMALOVITCH	PROPN	CARMALOVITCH
.	PUNCT	.
THE	DET	the
OPAL	NOUN	opal
OF	ADP	of
CARMALOVITCH	PROPN	CARMALOVITCH
.	PUNCT	.
Dark	ADJ	dark
was	AUX	be
falling	VERB	fall
from	ADP	from
a	DET	a
dull	ADJ	dull
and	CCONJ	and
humid	ADJ	humid
sky	NOUN	sky
,	PUNCT	,
and	CCONJ	and
the	DET	the
lamps	NOUN	lamp
were	AUX	be
beginning	VERB	begin
to	PART	to
struggle	VERB	struggle
for	ADP	for
brightness	NOUN	brightness
in	ADP	in
Piccadilly	PROPN	Piccadilly
,	PUNCT	,
when	SCONJ	when
the	DET	the
opal	NOUN	opal
of	ADP	of
Carmalovitch	PROPN	Carmalovitch
was	AUX	be
first	ADV	first
put	VERB	put
into	ADP	into
my	PRON	my
hand	NOUN	hand
.	PUNCT	.
The	DET	the
day	NOUN	day
had	AUX	have
been	AUX	be
a	DET	a
sorry	ADJ	sorry
one	NOUN	one
for	ADP	for
business	NOUN	business
:	PUNCT	:
no	DET	no
light	NOUN	light
,	PUNCT	,
no	DET	no
sun	NOUN	sun
,	PUNCT	,
no	DET	no
stay	NOUN	stay
of	ADP	of
the	DET	the
downpour	NOUN	downpour
of	ADP	of
penetrating	VERB	penetrate
mist	NOUN	mist
which	DET	which
had	AUX	have
been	AUX	be
swept	VERB	sweep
through	ADP	through
the	DET	the
city	NOUN	city
by	ADP	by
the	DET	the
driving	VERB	drive
south	NOUN	south
wind	NOUN	wind
from	ADP	from
the	DET	the
late	ADJ	late
dawn	NOUN	dawn
to	ADP	to
the	DET	the
mock	NOUN	mock
of	ADP	of
sunset	NOUN	sunset
.	PUNCT	.
I	PRON	I
had	AUX	have
sat	VERB	sit
in	ADP	in
my	PRON	my
private	ADJ	private
office	NOUN	office
for	ADP	for
six	NUM	six
long	ADJ	long
hours	NOUN	hour
,	PUNCT	,
and	CCONJ	and
had	AUX	have
not	PART	not
seen	VERB	see
a	DET	a
customer	NOUN	customer
.	PUNCT	.
The	DET	the
umbrella	NOUN	umbrella
-	PUNCT	-
bearing	VERB	bear
throng	NOUN	throng
which	DET	which
trod	VERB	tread
the	DET	the
street	NOUN	street
before	ADP	before
my	PRON	my
window	NOUN	window
hurried	VERB	hurry
quickly	ADV	quickly
through	ADP	through
the	DET	the
mud	NOUN	mud
and	CCONJ	and
the	NOUN	the
slush	NOUN	slush
,	PUNCT	,
as	ADP	as
people	NOUN	people
who	PRON	who
had	AUX	have
no	DET	no
leisure	NOUN	leisure
even	ADV	even
to	PART	to
gaze	VERB	gaze
upon	SCONJ	upon
precious	ADJ	precious
stones	NOUN	stone
they	PRON	they
could	AUX	could
not	PART	not
buy	VERB	buy
.	PUNCT	.
I	PRON	I
was	AUX	be
going	VERB	go
home	ADV	home
,	PUNCT	,
in	ADP	in
fact	NOUN	fact
,	PUNCT	,
as	ADP	as
the	DET	the
one	NUM	one
sensible	ADJ	sensible
proceeding	VERB	proceed
on	ADP	on
such	DET	such
an	DET	an
afternoon	NOUN	afternoon
,	PUNCT	,
and	CCONJ	and
had	AUX	have
my	PRON	my
hand	NOUN	hand
upon	SCONJ	upon
the	DET	the
great	ADJ	great
safe	ADJ	safe
to	PART	to
shut	VERB	shut
it	PRON	it
,	PUNCT	,
when	SCONJ	when
the	DET	the
mirror	NOUN	mirror
above	ADP	above
my	PRON	my
desk	NOUN	desk
showed	VERB	show
me	PRON	I
the	DET	the
reflection	NOUN	reflection
of	ADP	of
a	DET	a
curious	ADJ	curious
-	PUNCT	-
looking	VERB	look
man	NOUN	man
who	PRON	who
had	AUX	have
entered	VERB	enter
the	DET	the
outer	ADJ	outer
shop	NOUN	shop
,	PUNCT	,
and	CCONJ	and
stood	VERB	stand
already	ADV	already
at	ADP	at
the	DET	the
counter	NOUN	counter
.	PUNCT	.
At	ADP	at
the	DET	the
first	ADJ	first
glance	NOUN	glance
I	PRON	I
judged	VERB	judge
that	SCONJ	that
this	DET	this
man	NOUN	man
was	AUX	be
no	DET	no
ordinary	ADJ	ordinary
customer	NOUN	customer
.	PUNCT	.
His	PRON	his
dress	NOUN	dress
was	AUX	be
altogether	ADV	altogether
singular	ADJ	singular
.	PUNCT	.
He	PRON	he
had	AUX	have
a	DET	a
black	ADJ	black
coat	NOUN	coat
covering	VERB	cover
him	PRON	he
from	ADP	from
his	PRON	his
neck	NOUN	neck
to	ADP	to
his	PRON	his
heels	NOUN	heel
--	PUNCT	--
a	DET	a
coat	NOUN	coat
half	ADV	half
-	PUNCT	-
smothered	VERB	smother
in	ADP	in
astrachan	NOUN	astrachan
,	PUNCT	,
and	CCONJ	and
one	NUM	one
which	DET	which
could	AUX	could
have	AUX	have
been	AUX	be
made	VERB	make
by	ADP	by
no	DET	no
English	ADJ	english
tailor	NOUN	tailor
.	PUNCT	.
But	CCONJ	but
his	PRON	his
hands	NOUN	hand
were	AUX	be
ungloved	ADJ	ungloved
,	PUNCT	,
and	CCONJ	and
he	PRON	he
wore	VERB	wear
a	DET	a
low	ADJ	low
hat	NOUN	hat
,	PUNCT	,
which	DET	which
might	AUX	might
have	AUX	have
been	AUX	be
the	DET	the
hat	NOUN	hat
of	ADP	of
an	DET	an
office	NOUN	office
boy	NOUN	boy
.	PUNCT	.
I	PRON	I
could	AUX	could
see	VERB	see
from	ADP	from
the	DET	the
little	ADJ	little
window	NOUN	window
of	ADP	of
my	PRON	my
private	ADJ	private
room	NOUN	room
,	PUNCT	,
which	DET	which
gives	VERB	give
my	PRON	my
eye	NOUN	eye
command	NOUN	command
of	ADP	of
the	DET	the
shop	NOUN	shop
,	PUNCT	,
that	SCONJ	that
he	PRON	he
had	AUX	have
come	VERB	come
on	ADP	on
foot	NOUN	foot
,	PUNCT	,
and	CCONJ	and
for	ADP	for
lack	NOUN	lack
of	ADP	of
any	NOUN	any
umbrella	NOUN	umbrella
was	AUX	be
pitiably	ADV	pitiably
wet	ADJ	wet
.	PUNCT	.
Yet	CCONJ	yet
there	PRON	there
was	AUX	be
fine	ADJ	fine
