Transcribed	VERB	transcribe
from	ADP	from
the	DET	the
1921	NUM	1921
Macmillan	PROPN	Macmillan
and	CCONJ	and
Co.	PROPN	Co.
edition	NOUN	edition
by	ADP	by
David	PROPN	David
Price	PROPN	Price
,	PUNCT	,
email	X	email
ccx074@pglaf.org	X	ccx074@pglaf.org
.	PUNCT	.
Proofed	VERB	proof
by	ADP	by
Dimitri	PROPN	Dimitri
Papadopoulos	PROPN	Papadopoulos
,	PUNCT	,
Lynn	PROPN	Lynn
A.	PROPN	A.
Weinberg	PROPN	Weinberg
,	PUNCT	,
Stuart	PROPN	Stuart
Bennett	PROPN	Bennett
and	CCONJ	and
Mary	PROPN	Mary
Willard	PROPN	Willard
.	PUNCT	.
[	PUNCT	[
Picture	NOUN	picture
:	PUNCT	:
Book	NOUN	book
cover	NOUN	cover
]	X	]
WASHINGTON	PROPN	WASHINGTON
SQUARE	PROPN	SQUARE
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
BY	PROPN	BY
HENRY	PROPN	HENRY
JAMES	PROPN	JAMES
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PROPN	*
MACMILLAN	PROPN	MACMILLAN
AND	CCONJ	and
CO	PROPN	CO
.	PROPN	.
,	PUNCT	,
LIMITED	PROPN	LIMITED
ST	PROPN	ST
.	PUNCT	.
MARTIN	PROPN	MARTIN
'S	PROPN	'S
STREET	PROPN	STREET
,	PUNCT	,
LONDON	PROPN	LONDON
1921	NUM	1921
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
COPYRIGHT	X	copyright
_	PUNCT	_
First	ADV	first
published	VERB	publish
in	ADP	in
_	PUNCT	_
1881	NUM	1881
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
I	VERB	I
DURING	VERB	dure
a	DET	a
portion	NOUN	portion
of	ADP	of
the	DET	the
first	ADJ	first
half	NOUN	half
of	ADP	of
the	DET	the
present	ADJ	present
century	NOUN	century
,	PUNCT	,
and	CCONJ	and
more	ADV	more
particularly	ADV	particularly
during	ADP	during
the	DET	the
latter	ADJ	latter
part	NOUN	part
of	ADP	of
it	PRON	it
,	PUNCT	,
there	PRON	there
flourished	VERB	flourish
and	CCONJ	and
practised	VERB	practise
in	ADP	in
the	DET	the
city	NOUN	city
of	ADP	of
New	PROPN	New
York	PROPN	York
a	DET	a
physician	NOUN	physician
who	PRON	who
enjoyed	VERB	enjoy
perhaps	ADV	perhaps
an	DET	an
exceptional	ADJ	exceptional
share	NOUN	share
of	ADP	of
the	DET	the
consideration	NOUN	consideration
which	DET	which
,	PUNCT	,
in	ADP	in
the	DET	the
