Internet	PROPN	Internet
Archive	PROPN	Archive
THE	DET	the
WIRE	PROPN	WIRE
DEVILS	PROPN	DEVILS
By	ADP	by
Frank	PROPN	Frank
L.	PROPN	L.
Packard	PROPN	Packard
Author	NOUN	author
of	ADP	of
“	PUNCT	""""
Greater	ADJ	great
Love	NOUN	love
Hath	VERB	Hath
No	DET	no
Man	NOUN	man
,	PUNCT	,
”	PUNCT	""""
“	PUNCT	""""
The	DET	the
Adventure	NOUN	adventure
of	ADP	of
Jimmie	PROPN	Jimmie
Dale	PROPN	Dale
,	PUNCT	,
”	PUNCT	""""
Etc	PROPN	Etc
.	PROPN	.
A.	PROPN	A.
L.	PROPN	L.
Burt	PROPN	Burt
Company	PROPN	Company
Publishers	PROPN	Publishers
New	PROPN	New
York	PROPN	York
1918	NUM	1918
CONTENTS	NOUN	content
THE	DET	the
WIRE	PROPN	WIRE
DEVILS	PROPN	DEVILS
I	PROPN	I
—	PUNCT	—
THE	DET	the
SECRET	PROPN	SECRET
CODE	PROPN	CODE
II	PROPN	II
—	PUNCT	—
THE	DET	the
TEN	NUM	ten
-	PUNCT	-
DOLLAR	NOUN	dollar
COUNTERFEIT	NOUN	counterfeit
NOTE	NOUN	note
III	X	iii
-	PUNCT	-
THE	DET	the
PAYMASTER	PROPN	PAYMASTER
'S	PART	's
SAFE	PROPN	SAFE
IV	PROPN	IV
—	PUNCT	—
AT	ADP	at
BALD	PROPN	BALD
CREEK	PROPN	CREEK
STATION	NOUN	station
V	PROPN	V
—	PUNCT	—
IN	ADP	in
WHICH	DET	which
A	DET	a
CASH	NOUN	cash
BOX	NOUN	box
DISAPPEARS	VERB	disappear
VI	X	vi
—	PUNCT	—
SOME	NOUN	some
OF	ADP	of
THE	DET	the
LITTLE	ADJ	little
SPIDERS	NOUN	spider
VII	X	vii
—	PUNCT	—
WANTED	VERB	want
—	PUNCT	—
THE	DET	the
HAWK	NOUN	hawk
—	PUNCT	—
DEAD	NOUN	dead
OR	CCONJ	or
ALIVE	NOUN	alive
VIII	NOUN	viii
—	PUNCT	—
THREADS	VERB	thread
IN	ADP	in
THE	DET	the
WEB	NOUN	web
IX	NOUN	ix
—	PUNCT	—
THE	DET	the
LOOTING	NOUN	looting
OF	ADP	of
THE	DET	the
FAST	ADJ	fast
MAIL	PROPN	MAIL
X	NOUN	x
—	PUNCT	—
THE	DET	the
THIRD	ADJ	third
PARTY	NOUN	party
XI	NOUN	xi
—	PUNCT	—
THE	DET	the
LEAD	NOUN	lead
CAPSULE	NOUN	capsule
XII	NOUN	xii
—	PUNCT	—
BLINDMAN'S	PROPN	BLINDMAN'S
-	PUNCT	-
BUFF	PROPN	BUFF
XIII	NOUN	xiii
—	PUNCT	—
THE	DET	the
MAN	NOUN	man
WITH	ADP	with
THE	DET	the
SCAR	NOUN	scar
XIV	NOUN	xiv
—	PUNCT	—
THE	DET	the
CLUE	NOUN	clue
XV	NOUN	xv
—	PUNCT	—
THE	DET	the
LADYBIRD	NOUN	ladybird
XVI	NOUN	xvi
—	PUNCT	—
AN	DET	an
EVEN	ADJ	even
BREAK	NOUN	break
XVII	NOUN	xvii
—	PUNCT	—
A	DET	a
HOLE	NOUN	hole
IN	ADP	in
THE	DET	the
WALL	NOUN	wall
XVIII	NOUN	xviii
—	PUNCT	—
THE	DET	the
HAWK	NOUN	hawk
PACKS	VERB	pack
HIS	PRON	his
VALISE	NOUN	valise
XIX	NOUN	xix
—	PUNCT	—
BIRDS	NOUN	bird
OF	ADP	of
A	DET	a
FEATHER	NOUN	feather
XX—“CONFIDENTIAL	ADJ	xx—“confidential
”	PUNCT	""""
CORRESPONDENCE	NOUN	correspondence
THE	DET	the
WIRE	PROPN	WIRE
DEVILS	NOUN	devil
I	NOUN	I
—	PUNCT	—
THE	DET	the
SECRET	ADJ	secret
CODE	NOUN	code
TWO	NUM	two
switch	NOUN	switch
lights	NOUN	light
twinkled	VERB	twinkle
;	PUNCT	;
one	NUM	one
at	ADP	at
the	DET	the
east	NOUN	east
,	PUNCT	,
and	CCONJ	and
one	NUM	one
at	ADP	at
the	DET	the
west	ADJ	west
end	NOUN	end
of	ADP	of
the	DET	the
siding	NOUN	siding
.	PUNCT	.
For	ADP	for
the	DET	the
rest	NOUN	rest
all	DET	all
was	AUX	be
blackness	NOUN	blackness
.	PUNCT	.
Half	ADJ	half
way	NOUN	way
between	ADP	between
the	DET	the
switch	NOUN	switch
lights	NOUN	light
,	PUNCT	,
snuggled	VERB	snuggle
close	ADV	close
against	ADP	against
the	DET	the
single	ADJ	single
-	PUNCT	-
tracked	VERB	track
main	ADJ	main
line	NOUN	line
,	PUNCT	,
the	DET	the
station	NOUN	station
,	PUNCT	,
little	ADJ	little
more	ADJ	more
than	ADP	than
a	DET	a
shanty	NOUN	shanty
and	CCONJ	and
too	ADV	too
insignificant	ADJ	insignificant
to	PART	to
boast	VERB	boast
a	DET	a
night	NOUN	night
operator	NOUN	operator
,	PUNCT	,
loomed	VERB	loom
up	ADP	up
shadowy	ADJ	shadowy
and	CCONJ	and
indistinct	ADJ	indistinct
.	PUNCT	.
Away	ADV	away
to	ADP	to
the	DET	the
westward	ADJ	westward
,	PUNCT	,
like	ADP	like
jagged	ADJ	jagged
points	NOUN	point
sticking	VERB	stick
up	ADP	up
into	ADP	into
the	DET	the
night	NOUN	night
and	CCONJ	and
standing	VERB	stand
out	ADP	out
in	ADP	in
relief	NOUN	relief
against	ADP	against
the	DET	the
