CHILDREN	NOUN	child
OF	ADP	of
THE	DET	the
WHIRLWIND	NOUN	whirlwind
By	ADP	by
Leroy	PROPN	Leroy
Scott	PROPN	Scott
CHAPTER	NOUN	chapter
I	NUM	i
It	PRON	it
was	AUX	be
an	DET	an
uninspiring	ADJ	uninspiring
bit	NOUN	bit
of	ADP	of
street	NOUN	street
:	PUNCT	:
narrow	ADJ	narrow
,	PUNCT	,
paved	VERB	pave
with	ADP	with
cobble	NOUN	cobble
;	PUNCT	;
hot	ADJ	hot
and	CCONJ	and
noisy	ADJ	noisy
in	ADP	in
summer	NOUN	summer
,	PUNCT	,
reeking	VERB	reek
with	ADP	with
unwholesome	ADJ	unwholesome
mud	NOUN	mud
during	ADP	during
the	DET	the
drizzling	VERB	drizzle
and	CCONJ	and
snow	NOUN	snow
-	PUNCT	-
slimed	VERB	slime
months	NOUN	month
of	ADP	of
winter	NOUN	winter
.	PUNCT	.
It	PRON	it
looked	VERB	look
anything	PRON	anything
this	DET	this
May	PROPN	May
after	ADP	after
noon	NOUN	noon
except	SCONJ	except
a	DET	a
starting	VERB	start
-	PUNCT	-
place	NOUN	place
for	ADP	for
drama	NOUN	drama
.	PUNCT	.
But	CCONJ	but
,	PUNCT	,
then	ADV	then
,	PUNCT	,
the	DET	the
great	ADJ	great
dramas	NOUN	drama
of	ADP	of
life	NOUN	life
often	ADV	often
avoid	VERB	avoid
the	DET	the
splendid	ADJ	splendid
estates	NOUN	estate
and	CCONJ	and
trappings	NOUN	trapping
with	ADP	with
which	DET	which
conventional	ADJ	conventional
romance	NOUN	romance
would	AUX	would
equip	VERB	equip
them	PRON	they
,	PUNCT	,
and	CCONJ	and
have	AUX	have
their	PRON	their
beginnings	NOUN	beginning
in	ADP	in
unlikeliest	ADJ	unlikeli
environment	NOUN	environment
;	PUNCT	;
and	CCONJ	and
thence	ADV	thence
sweep	VERB	sweep
on	ADP	on
to	ADP	to
a	DET	a
noble	ADJ	noble
,	PUNCT	,
consuming	VERB	consume
tragedy	NOUN	tragedy
,	PUNCT	,
or	CCONJ	or
to	ADP	to
a	DET	a
glorious	ADJ	glorious
unfolding	NOUN	unfolding
of	ADP	of
souls	NOUN	soul
.	PUNCT	.
Life	NOUN	life
is	AUX	be
a	DET	a
composite	NOUN	composite
of	ADP	of
contradictions	NOUN	contradiction
--	PUNCT	--
a	DET	a
puzzle	NOUN	puzzle
to	ADP	to
the	DET	the
wisest	ADJ	wise
of	ADP	of
us	PRON	we
:	PUNCT	:
the	DET	the
lily	NOUN	lily
lifting	VERB	lift
its	PRON	its
graceful	ADJ	graceful
purity	NOUN	purity
aloft	ADV	aloft
may	AUX	may
have	AUX	have
its	PRON	its
roots	NOUN	root
in	ADP	in
a	DET	a
dunghill	NOUN	dunghill
.	PUNCT	.
Samson	PROPN	Samson
's	PART	's
dead	ADJ	dead
lion	NOUN	lion
putrefying	VERB	putrefy
by	ADP	by
a	NOUN	a
roadside	NOUN	roadside
is	AUX	be
ever	ADV	ever
and	CCONJ	and
again	ADV	again
being	AUX	be
found	VERB	find
to	PART	to
be	AUX	be
a	DET	a
storehouse	NOUN	storehouse
of	ADP	of
wild	ADJ	wild
honey	NOUN	honey
.	PUNCT	.
We	PRON	we
are	AUX	be
too	ADV	too
accustomed	ADJ	accustomed
to	ADP	to
the	DET	the
ordinary	ADJ	ordinary
and	CCONJ	and
the	DET	the
obvious	ADJ	obvious
to	PART	to
consider	VERB	consider
that	SCONJ	that
beauty	NOUN	beauty
or	CCONJ	or
worth	NOUN	worth
may	AUX	may
,	PUNCT	,
after	ADP	after
bitter	ADJ	bitter
travail	NOUN	travail
,	PUNCT	,
grow	VERB	grow
out	ADP	out
of	ADP	of
that	DET	that
which	DET	which
is	AUX	be
ugly	ADJ	ugly
and	CCONJ	and
unpromising	ADJ	unpromising
.	PUNCT	.
Thus	ADV	thus
no	DET	no
one	NOUN	one
who	PRON	who
looked	VERB	look
on	ADP	on
Maggie	PROPN	Maggie
Carlisle	PROPN	Carlisle
and	CCONJ	and
Larry	PROPN	Larry
Brainard	PROPN	Brainard
at	ADP	at
their	PRON	their
beginnings	NOUN	beginning
,	PUNCT	,
had	AUX	have
even	ADV	even
a	DET	a
guess	NOUN	guess
what	DET	what
manner	NOUN	manner
of	ADP	of
persons	NOUN	person
were	AUX	be
to	PART	to
develop	VERB	develop
from	ADP	from
them	PRON	they
or	CCONJ	or
what	PRON	what
their	PRON	their
stories	NOUN	story
were	AUX	be
to	PART	to
be	AUX	be
.	PUNCT	.
The	DET	the
houses	NOUN	house
on	ADP	on
the	DET	the
bit	NOUN	bit
of	ADP	of
street	NOUN	street
were	AUX	be
all	DET	all
three	NUM	three
-	PUNCT	-
storied	ADJ	storied
and	CCONJ	and
all	DET	all
of	ADP	of
a	DET	a
uniform	ADJ	uniform
,	PUNCT	,
dingy	ADJ	dingy
,	PUNCT	,
scaling	VERB	scale
redness	NOUN	redness
.	PUNCT	.
The	DET	the
house	NOUN	house
of	ADP	of
the	DET	the
Duchess	PROPN	Duchess
,	PUNCT	,
on	ADP	on
the	DET	the
left	NOUN	left
side	NOUN	side
as	ADP	as
you	PRON	you
came	VERB	come
down	ADP	down
the	DET	the
street	NOUN	street
toward	ADP	toward
the	DET	the
little	ADJ	little
Square	PROPN	Square
which	DET	which
squatted	VERB	squat
beside	ADP	beside
the	DET	the
East	PROPN	East
River	PROPN	River
,	PUNCT	,
differed	VERB	differ
from	ADP	from
the	DET	the
others	NOUN	other
only	ADV	only
in	ADP	in
that	SCONJ	that
three	NUM	three
balls	NOUN	ball
of	ADP	of
tarnished	ADJ	tarnished
gilt	NOUN	gilt
swung	VERB	swing
before	ADP	before
it	PRON	it
and	CCONJ	and
unredeemed	ADJ	unredeemed
pledges	NOUN	pledge
emanated	VERB	emanate
a	ADV	a
weakly	ADV	weakly
lure	ADJ	lure
from	ADP	from
behind	ADP	behind
its	PRON	its
dirt	NOUN	dirt
-	PUNCT	-
streaked	VERB	streak
windows	NOUN	window
,	PUNCT	,
and	CCONJ	and
also	ADV	also
in	ADP	in
that	SCONJ	that
the	DET	the
personality	NOUN	personality
of	ADP	of
the	DET	the
Duchess	PROPN	Duchess
gave	VERB	give
the	DET	the
house	NOUN	house
something	PRON	something
of	ADP	of
a	DET	a
character	NOUN	character
of	ADP	of
its	PRON	its
own	ADJ	own
.	PUNCT	.
The	DET	the
street	NOUN	street
did	AUX	do
business	NOUN	business
with	ADP	with
her	PRON	she
when	SCONJ	when
pressed	VERB	press
for	ADP	for
funds	NOUN	fund
,	PUNCT	,
but	CCONJ	but
it	PRON	it
knew	VERB	know
little	ADJ	little
definite	ADJ	definite
about	ADP	about
the	DET	the
Duchess	PROPN	Duchess
except	SCONJ	except
that	SCONJ	that
she	PRON	she
was	AUX	be
shriveled	ADJ	shriveled
and	CCONJ	and
bent	ADJ	bent
and	CCONJ	and
almost	ADV	almost
wordless	ADJ	wordless
and	CCONJ	and
was	AUX	be
seemingly	ADV	seemingly
without	ADP	without
emotions	NOUN	emotion
.	PUNCT	.
But	CCONJ	but
of	ADP	of
course	NOUN	course
there	PRON	there
were	AUX	be
rumors	NOUN	rumor
.	PUNCT	.
She	PRON	she
was	AUX	be
so	ADV	so
old	ADJ	old
,	PUNCT	,
and	CCONJ	and
had	AUX	have
been	AUX	be
so	ADV	so
long	ADJ	long
in	ADP	in
the	DET	the
drab	ADJ	drab
little	ADJ	little
street	NOUN	street
,	PUNCT	,
that	SCONJ	that
she	PRON	she
was	AUX	be
as	ADV	as
much	ADJ	much
a	DET	a
legend	NOUN	legend
as	ADP	as
a	DET	a
real	ADJ	real
person	NOUN	person
.	PUNCT	.
No	DET	no
one	NOUN	one
knew	VERB	know
exactly	ADV	exactly
how	SCONJ	how
she	PRON	she
had	AUX	have
come	VERB	come
by	ADP	by
the	DET	the
name	NOUN	name
of	ADP	of
“	PUNCT	""""
Duchess	PROPN	Duchess
.	PUNCT	.
”	PUNCT	""""
There	PRON	there
were	AUX	be
misty	ADJ	misty
,	PUNCT	,
unsupported	ADJ	unsupported
stories	NOUN	story
that	SCONJ	that
long	ADJ	long
,	PUNCT	,
long	ADV	long
ago	ADV	ago
she	PRON	she
had	AUX	have
been	AUX	be
a	DET	a
shapely	ADJ	shapely
and	CCONJ	and
royal	ADJ	royal
figure	NOUN	figure
in	ADP	in
colored	ADJ	colored
fleshings	NOUN	fleshing
,	PUNCT	,
and	CCONJ	and
that	SCONJ	that
her	PRON	her
title	NOUN	title
had	AUX	have
been	AUX	be
given	VERB	give
her	PRON	she
in	ADP	in
those	DET	those
her	PRON	her
ruling	NOUN	ruling
days	NOUN	day
.	PUNCT	.
Also	ADV	also
there	PRON	there
was	AUX	be
a	DET	a
vague	ADJ	vague
story	NOUN	story
that	SCONJ	that
she	PRON	she
had	AUX	have
come	VERB	come
by	ADP	by
the	DET	the
name	NOUN	name
through	ADP	through
an	DET	an
old	ADJ	old
liking	NOUN	liking
for	ADP	for
the	DET	the
romances	NOUN	romance
of	ADP	of
that	DET	that
writer	NOUN	writer
who	PRON	who
put	VERB	put
forth	ADP	forth
her	PRON	she
,	PUNCT	,
or	CCONJ	or
his	PRON	his
,	PUNCT	,
or	CCONJ	or
their	PRON	their
,	PUNCT	,
prolific	ADJ	prolific
extravagances	NOUN	extravagance
under	ADP	under
the	DET	the
exalted	ADJ	exalted
pseudonym	NOUN	pseudonym
of	ADP	of
“	PUNCT	""""
The	DET	the
Duchess	PROPN	Duchess
.	PUNCT	.
”	PUNCT	""""
Also	ADV	also
there	PRON	there
was	AUX	be
a	DET	a
rumor	NOUN	rumor
that	SCONJ	that
the	DET	the
title	NOUN	title
came	VERB	come
from	ADP	from
a	DET	a
former	ADJ	former
alleged	ADJ	alleged
habit	NOUN	habit
of	ADP	of
the	DET	the
Duchess	PROPN	Duchess
of	ADP	of
carrying	VERB	carry
beneath	ADP	beneath
her	PRON	her
shapeless	ADJ	shapeless
dress	NOUN	dress
a	DET	a
hoard	NOUN	hoard
of	ADP	of
jewels	NOUN	jewel
worthy	ADJ	worthy
to	PART	to
be	AUX	be
a	DET	a
duchy	NOUN	duchy
's	PART	's
heirlooms	NOUN	heirloom
.	PUNCT	.
But	CCONJ	but
all	DET	all
these	DET	these
were	AUX	be
just	ADJ	just
stories	NOUN	story
--	PUNCT	--
no	DET	no
more	ADJ	more
.	PUNCT	.
Down	ADV	down
