Scanned	VERB	scan
by	ADP	by
Georges	PROPN	Georges
Allaire	PROPN	Allaire
<	X	<
gall@globetrotter.net	X	gall@globetrotter.net
>	X	>
Etext	NOUN	etext
prepared	VERB	prepare
by	ADP	by
Dianne	PROPN	Dianne
Bean	PROPN	Bean
of	ADP	of
Phoenix	PROPN	Phoenix
,	PUNCT	,
Arizona	PROPN	Arizona
.	PUNCT	.
THE	DET	the
MAN	NOUN	man
WHO	PRON	who
KNEW	VERB	know
TOO	ADV	too
MUCH	ADJ	much
By	ADP	by
Gilbert	PROPN	Gilbert
K.	PROPN	K.
Chesterton	PROPN	Chesterton
CONTENTS	NOUN	content
THE	DET	the
MAN	NOUN	man
WHO	PRON	who
KNEW	VERB	know
TOO	ADV	too
MUCH	ADJ	much
:	PUNCT	:
I.	PUNCT	I.
THE	DET	the
FACE	NOUN	face
IN	ADP	in
THE	DET	the
TARGET	NOUN	target
II	X	ii
.	PUNCT	.
THE	DET	the
VANISHING	VERB	vanish
PRINCE	NOUN	prince
III	NOUN	iii
.	PUNCT	.
THE	DET	the
SOUL	NOUN	soul
OF	ADP	of
THE	DET	the
SCHOOLBOY	NOUN	schoolboy
IV	PROPN	IV
.	PUNCT	.
THE	DET	the
BOTTOMLESS	NOUN	bottomless
WELL	NOUN	well
V.	NOUN	v.
THE	DET	the
FAD	NOUN	fad
OF	ADP	of
THE	DET	the
FISHERMAN	NOUN	fisherman
VI	NOUN	vi
.	PUNCT	.
THE	DET	the
HOLE	NOUN	hole
IN	ADP	in
THE	DET	the
WALL	NOUN	wall
VII	X	vii
.	PUNCT	.
THE	DET	the
TEMPLE	NOUN	temple
OF	ADP	of
SILENCE	NOUN	silence
VIII	X	viii
.	PUNCT	.
THE	DET	the
VENGEANCE	NOUN	vengeance
OF	ADP	of
THE	DET	the
STATUE	NOUN	statue
THE	DET	the
MAN	NOUN	man
WHO	PRON	who
KNEW	VERB	know
TOO	ADV	too
MUCH	ADJ	much
I.	PUNCT	I.
THE	DET	the
FACE	NOUN	face
IN	ADP	in
THE	DET	the
TARGET	NOUN	target
Harold	PROPN	Harold
March	PROPN	March
,	PUNCT	,
the	DET	the
rising	VERB	rise
reviewer	NOUN	reviewer
and	CCONJ	and
social	ADJ	social
critic	NOUN	critic
,	PUNCT	,
was	AUX	be
walking	VERB	walk
vigorously	ADV	vigorously
across	ADP	across
a	DET	a
great	ADJ	great
tableland	NOUN	tableland
of	ADP	of
moors	NOUN	moor
and	CCONJ	and
commons	NOUN	common
,	PUNCT	,
the	DET	the
horizon	NOUN	horizon
of	ADP	of
which	DET	which
was	AUX	be
fringed	VERB	fringe
with	ADP	with
the	DET	the
far	ADV	far
-	PUNCT	-
off	ADV	off
woods	NOUN	wood
of	ADP	of
the	DET	the
famous	ADJ	famous
estate	NOUN	estate
of	ADP	of
Torwood	PROPN	Torwood
Park	PROPN	Park
.	PUNCT	.
He	PRON	he
was	AUX	be
a	DET	a
good	ADJ	good
-	PUNCT	-
