Transcribed	VERB	transcribe
from	ADP	from
the	DET	the
1918	NUM	1918
John	PROPN	John
Murray	PROPN	Murray
edition	NOUN	edition
by	ADP	by
David	PROPN	David
Price	PROPN	Price
,	PUNCT	,
email	X	email
ccx074@pglaf.org	X	ccx074@pglaf.org
DANGER	NOUN	danger
!	PUNCT	!
AND	CCONJ	and
OTHER	ADJ	other
STORIES	NOUN	story
BY	ADP	by
ARTHUR	PROPN	ARTHUR
CONAN	PROPN	CONAN
DOYLE	PROPN	DOYLE
AUTHOR	PROPN	AUTHOR
OF	ADP	of
""""	PUNCT	""""
THE	DET	the
WHITE	PROPN	WHITE
COMPANY	PROPN	COMPANY
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
SIR	PROPN	SIR
NIGEL	PROPN	NIGEL
""""	PUNCT	""""
""""	PUNCT	""""
RODNEY	PROPN	RODNEY
STONE	PROPN	STONE
,	PUNCT	,
""""	PUNCT	""""
ETC	PROPN	ETC
.	PUNCT	.
LONDON	PROPN	LONDON
JOHN	PROPN	JOHN
MURRAY	PROPN	MURRAY
,	PUNCT	,
ALBEMARLE	PROPN	ALBEMARLE
STREET	PROPN	STREET
,	PUNCT	,
W.	PROPN	W.
1918	NUM	1918
ALL	NOUN	all
RIGHTS	NOUN	right
RESERVED	PROPN	RESERVED
PREFACE	NOUN	preface
The	DET	the
Title	NOUN	title
story	NOUN	story
of	ADP	of
this	DET	this
volume	NOUN	volume
was	AUX	be
written	VERB	write
about	ADP	about
eighteen	NUM	eighteen
months	NOUN	month
before	ADP	before
the	DET	the
outbreak	NOUN	outbreak
of	ADP	of
the	DET	the
war	NOUN	war
,	PUNCT	,
and	CCONJ	and
was	AUX	be
intended	VERB	intend
to	PART	to
direct	VERB	direct
public	ADJ	public
attention	NOUN	attention
to	ADP	to
the	DET	the
great	ADJ	great
danger	NOUN	danger
which	DET	which
threatened	VERB	threaten
this	DET	this
country	NOUN	country
.	PUNCT	.
It	PRON	it
is	AUX	be
a	DET	a
matter	NOUN	matter
of	ADP	of
history	NOUN	history
how	SCONJ	how
fully	ADV	fully
this	DET	this
warning	NOUN	warning
has	AUX	have
been	AUX	be
justified	VERB	justify
and	CCONJ	and
how	SCONJ	how
,	PUNCT	,
even	ADV	even
down	ADP	down
to	ADP	to
the	DET	the
smallest	ADJ	small
details	NOUN	detail
,	PUNCT	,
the	DET	the
prediction	NOUN	prediction
has	AUX	have
been	AUX	be
fulfilled	VERB	fulfil
.	PUNCT	.
The	DET	the
writer	NOUN	writer
must	AUX	must
,	PUNCT	,
however	ADV	however
,	PUNCT	,
most	ADV	most
thankfully	ADV	thankfully
admit	VERB	admit
that	SCONJ	that
what	PRON	what
he	PRON	he
did	AUX	do
not	PART	not
