Etext	NOUN	etext
prepared	VERB	prepare
by	ADP	by
Bill	PROPN	Bill
Brewer	PROPN	Brewer
,	PUNCT	,
billbrewer@ttu.edu	X	billbrewer@ttu.edu
BETTY	PROPN	BETTY
ZANE	PROPN	ZANE
BY	PROPN	BY
ZANE	PROPN	ZANE
GREY	PROPN	GREY
TO	ADP	to
THE	DET	the
BETTY	PROPN	BETTY
ZANE	PROPN	ZANE
CHAPTER	NOUN	chapter
OF	ADP	of
THE	DET	the
DAUGHTERS	NOUN	daughter
OF	ADP	of
THE	DET	the
REVOLUTION	NOUN	revolution
THIS	DET	this
BOOK	NOUN	book
IS	AUX	be
RESPECTFULLY	ADV	respectfully
DEDICATED	VERB	dedicate
BY	ADP	by
THE	DET	the
AUTHOR	NOUN	author
NOTE	NOUN	note
In	ADP	in
a	DET	a
quiet	ADJ	quiet
corner	NOUN	corner
of	ADP	of
the	DET	the
stately	ADJ	stately
little	ADJ	little
city	NOUN	city
of	ADP	of
Wheeling	PROPN	Wheeling
,	PUNCT	,
West	PROPN	West
Va.	PROPN	Va.
,	PUNCT	,
stands	VERB	stand
a	DET	a
monument	NOUN	monument
on	ADP	on
which	DET	which
is	AUX	be
inscribed	VERB	inscribe
:	PUNCT	:
""""	PUNCT	""""
By	ADP	by
authority	NOUN	authority
of	ADP	of
the	DET	the
State	PROPN	State
of	ADP	of
West	PROPN	West
Virginia	PROPN	Virginia
to	PART	to
commemorate	VERB	commemorate
the	DET	the
siege	NOUN	siege
of	ADP	of
Fort	PROPN	Fort
Henry	PROPN	Henry
,	PUNCT	,
Sept	PROPN	Sept
11	NUM	11
,	PUNCT	,
1782	NUM	1782
,	PUNCT	,
the	DET	the
last	ADJ	last
battle	NOUN	battle
of	ADP	of
the	DET	the
American	PROPN	American
Revolution	PROPN	Revolution
,	PUNCT	,
this	DET	this
tablet	NOUN	tablet
is	AUX	be
here	ADV	here
placed	VERB	place
.	PUNCT	.
""""	PUNCT	""""
Had	AUX	have
it	PRON	it
not	PART	not
been	AUX	be
for	ADP	for
the	DET	the
heroism	NOUN	heroism
of	ADP	of
a	DET	a
girl	NOUN	girl
the	DET	the
foregoing	VERB	forego
inscription	NOUN	inscription
would	AUX	would
never	ADV	never
have	AUX	have
been	AUX	be
written	VERB	write
,	PUNCT	,
and	CCONJ	and
the	DET	the
city	NOUN	city
of	ADP	of
Wheeling	PROPN	Wheeling
would	AUX	would
never	ADV	never
have	AUX	have
existed	VERB	exist
.	PUNCT	.
From	ADP	from
time	NOUN	time
to	ADP	to
time	NOUN	time
I	PRON	I
have	AUX	have
read	VERB	read
short	ADJ	short
stories	NOUN	story
and	CCONJ	and
magazine	NOUN	magazine
articles	NOUN	article
which	DET	which
have	AUX	have
been	AUX	be
published	VERB	publish
about	ADP	about
